prompt,generated_text,language
Men det var,"Men det var ikkje før dei høyrde om «Lokkarstugu» det vakna interesse frå garden på Nord-Steinset.
– Det var ein gammal mann frå Dovre som ringde oss ein dag, og fortalde om ei løysteinbu som sto attmed elva på Mjøssundet. Øverst i dalføret mot Ljoshaugen (Gruvli) var han godt kjend. Han visste at det skulle vere ei slik steinbu på vestsida av elva. Løysteinsbu har eg ikkje høyrt om før, seier Anne, som meiner det må vera eit bra ord for bu med steinvegger. ",nno
Det var ein,"Det var ein stolt ordførar Ragnhild Aarflot Kalland som tok føre seg hola i åpningstalen sin. Ordføraren gav ros til dei som fekk til utbygginga og rosa det gode samarbeidet mellom offentleg sektor og privat næringsliv for å etablere badelandet.
På ein storskjerm såg alle gjestene det nye badelandet bli opna av ei stålfuru. I eitt år har 20 arbeidarar bygd ei mengde røyr og leidningar ned i bakken. Vidare kunne vi sjå at taket på vassrøyra kvilte på 1 569 ferdigstøypte tverrbjelkar av gl",nno
Det var så,"Det var så det! | Lasses hjemmeside
Gå direkte til hovedinnholdet
Lasses hjemmeside
Nå enda nyere og mer forbedret!
Søk
Hovedmeny
Hjem
Matsiden
Innleggsnavigasjon
← Forrige Neste →
Det var så det!
Publisert 30. mars 2007 av Lasse G. Dahl
Så sitter jeg her med min nye PC i hendene, endelig etter ca. en måneds venting. Det meste er stort sett nytt, men prosessor, minne og harddisk fra den gamle fulgte med, og det setter jeg veldig stor pris på. Det har vært en glede å reinstallere det aller meste på en maskin som",nno
Ja det var,"Ja det var fint sagt av henne. Og nå lurer jeg på; er det bare barn og unge som får slike stjerner i øynene når en sier god natt til dem? For jeg tror at hvis jeg tok runden gjennom natta med en stjernekikkert, kunne jeg finne dem, ikke hos barnebarna, men hos andre voksne jeg møter. Øynene som åpnes og ser alt en ikke kan nå, alt en ikke kan se, men det gir mening allikevel.
Og kveldsstjerna gjør jobben sin. Den lyser hver natt og bærer tålmodighet. Men den ser ikke alle de tusen stjernene på himmelen, ser ikke alle skjebner og prøvel",nno
Ja det er,"Ja det er flott ute nå, men ikke nok til å gå til fjells uten å klatre. Her ble det bare til en liten tur oppover dalen, men det holdt. 11 plussgrader viser måleren her, og flere svaler har vist seg. Så fort de ser meg så forsvinner de under låvebrua. Ønsker dere en fin 1.mai, med eller uten flagg :-) ﻿ ﻿﻿
Svalene har kommet, og de holder seg i nærheten av bebyggelsen i håp om at de kan få seg litt mat.
Det nærmer seg første mai og en fridag på oss som jobber i skoleverket. Mange gleder seg for nå kan det bli fine dager i hagene. Så",nno
Så var det,"Så var det de evinnelige pengene. Trioen har et budsjett på 35 millioner kroner over to år, men hadde egentlig håpet på et større budsjett fra departementet.
- NFI hadde tro på serien og ga i utgangspunktet tilsagn om støtte, men så gikk norsk filmbyråkrati inn og ville halvere støtten vi hadde fått tilsagn om. Det var en helt idiotisk avgjørelse. For eksempel har det ført til at det er vanskeligere å gå inn i opptak i år, ettersom vi ligger nærmest 25 prosent under planlagt budsjett, sier Tangen.
- Hva betyr det for serien om dere ikke får mer",nno
Det var som,"Det var som kjent ikkje slik at dei kjende skodespelarane fyrst vart oppdaga av filmselskapet i går, det vart skapt over tid.
- Det var regissør Joachim Rønning («Max Manus») og eg som oppdaga dei, og fekk dei med på denne filmen. Det er eg glad for, seier Tiller.
Han held fast på draumen om at dette kan bli ein norsk, moderne klassikar, at det skal bli sett av mange nok til at dei blir lagt merke til internasjonalt. Det vil, i så fall, vere ein sensasjon.
Slike draumar er det lett å bli skuffa av.
- Ja, absolutt. Men me kan ikkje la slike draumar st",nno
Det er ikkje,"Det er ikkje til å tru at det finst vaksne folk, som trur at dei ikkje var tilstades ved fødselen til eit barn...
Syns det er litt drøyt å kalle det ""utelukkende det som kan bevises som sant"" - det finnes forskning som ""tyder"" på samvær med biologisk familie som viktig også for fosterbarn - men det er ingen forskning som kan ""bekrefte"" det. Derimot finnes det forskning som tyder på at den ""beste omsorgen"" er at barnet vokser opp hos adoptivforeldre.
Som forskninga viser, må det tilrettelegges i forkant av plassering. Foreldrene må ha hjelp og oppfølging. Barnets liv må v",nno
Kor mange prosent,"Kor mange prosent av norske born er fattige? Kva meiner statsråden regjeringa kan gjere for å betre situasjonen til born i låginntektsfamiliar? Barnefattigdom.
Prosentandelen på landsbasis er nå 8,6 prosent i årene 2012-2014. Det er store geografiske forskjeller på landsbasis. I vårt fylke er talet 9,6 prosent, det vil si at over 7000 barn bor i familier som ligger under EUs grense for lav inntekt. Hva er årsaken til at folk i fylket vårt har lavest inntekt? Kan vi finne tiltak for å redusere den store prosentandelen med barn i familier med lav inntekt?
Barne",nno
Det er veldig,"Det er veldig mange grunner til å være skeptiske til bruk av førerløse biler eller selvkjørende biler – ikke minst utfra hensynet til liv, helse og miljø. Skal man begi seg inn på en debatt om dette temaet, må man imidlertid være forberedt på å diskutere både fordeler og ulemper. 20 år etter at debatten om kunstig intelligens og farene med automatisering oppstod, er det på tide å løfte blikket. 1) Kunstig intelligens innebærer at maskinene skal få samme intelligens som mennesker, mens mennesket ikke skal bruke samme intelligens som maskinene. Vi skiller mellom to typer kunstig",nno
Det er ein,"Det er ein grunn til at det heiter «vindauge mot verda». Vi treng eit vindauge ut mot verda og mot andre folkeslag. Vi har eit spesielt ansvar fordi Noreg er eit lite land i Europa. 20 % av det norske folket er menneske med innvandrarbakgrunn. Men vi lever i ei globalisert verd. Det er ikkje noko som heiter «å kome frå verda», verda er også ein stad som kjem til oss og som vi møter med den som sit i vindauget.
I dag er det mange vindauge som ikkje slepp inn anna enn sine eigne landsmenn. På den måten blir vindauga også eit bilete på Noreg. Vi sit i v",nno
Det er eit,"Det er eit stort mangfald bakgrunnar blant dei som har fått tildelt midlar under Kunnskapsdepartementets ordningar i 2015. Blant prosjekta ser ein god spreiing mellom norske kommunar, private skuleeigarar, vidaregåande skular og universitet og høgskular.
Guttepakken gir støtte til skuleutviklingsprosjekt for å få innspel til korleis gutter som gruppe kan få ei forbetra opplæring og eit bedre miljø på skulen. Blant søkjarane var det mellom anna føreslegne nettverkmøter, fritidsaktivitetar og studium av skolens utforming.
Vurderingspraksispros",nno
Det er viktig,"Det er viktig for oss at du skal føle seg trygg og ivaretatt når du sender inn personlig informasjon til oss. Vi har derfor laget en oversikt over hvilken personlig informasjon som innhentes, hvorfor vi gjør dette og hvordan vi ivaretar din integritet. 1. Hvilke personlige opplysninger vi innhenter og hvorfor vi gjør dette 1.1 For å kunne gi deg den beste kjøps- og kundeopplevelsen bruker vi følgende opplysninger
Formål Hva brukes opplysningene til For hvem behandler jeg opplysningene Informasjoner som innhentes og gjennom nettstedet og e-post fra deg, anvendes for å bes",nno
Men det er,"Men det er fremdeles et lite problem som ødelegger og det er at jeg ikke greier å la fingrene hennes være i fred. Ønsker så gjerne å utforske, og selv om hun vil at dette skal skje må jeg liksom bare kjenne hvordan det er. Har fått noen hint om å gjøre det, og kanskje dette bare har med meg å gjøre? Hun har lyst til å nyte fingrene lenge uten at jeg stopper, er jo så mye å oppdage!
Jeg forstår veldig godt at du blir kåt av å ta på kjæresten din. Der er mange jenter som sier det samme som deg og det er flott å høre! Men du er 18",nno
Han fortel at,"Han fortel at ein bil som var eigde av bilforhandlaren tidlegare hadde blitt stjelt, og derfor ville dei flytte bilane bort.
- Det er ikkje vår bil som vart stolen, så det er kanskje ikkje det me skulle ha gjort, men...
- Når du forlet hus og bil, slik som eg gjorde nyleg, så håper du at folk er ærlege.
Jensen seier han snakka med mannen som tok bilane, og at han ikkje hadde fått noko beskjed om at han ikkje kunne behalde dei.
- Eg sa han kunne få dei gratis, om han ville ha dei. 500 kroner kunne han få, men det gjekk ikkje. ",nno
Eg har ikkje,"Eg har ikkje vore på Stord i sumar, men eg fekk litt kjensle av det du skriv likevel. Kanskje er det ikkje skrive om det i dei fyldige avisreferata, men eg har jo sett bilete. 94 kommunar er 10 for mange. Møtet eg hadde med eit utval av desse 94 sist veke var av varierande kvalitet. Nokon av ordførarane hadde forberedt seg, andre ikkje.
Frå mi tid i lokalpolitikken kan eg også nemne eit par saker. Den eine var søknad om konsesjon for å kjøpe ein gard. Rett nok vart søknaden avslått, men det viste seg seinare at søkjar ikkje fe",nno
Det er mykje,"Det er mykje sant i det gamle uttrykket: «Kjærlighet ved første blikk!». Og det må det vera med slike jenter som desse to. 11. oktober er det då premiere på den nye framsyninga frå Teater Spillebrikkene, som har fått tittelen «Kjærlighet ved første blikk». I følgje Inger Gundersen og Bo Anders Sundstedt i Teater Spillebrikkene er dette ei teaterframsyning for ungdom, bygd opp som ein «komedie utan eitt einaste morosamt poeng». I staden er det ei spanande og alvorleg historie, om kjærleik og ungdom.
Om denne tanken har slått særleg godt an hj",nno
Vi har ikkje,"Vi har ikkje hatt så mange høyringar og folkemøte, men har likevel fått mange innspel og spørsmål, som skal besvarast no. Vi har også merka oss særleg mange innspel om trafikksituasjonen og behov for ny skole.
Hareid fastlandsamband (som skulle løyse delar av trafikkutfordringane) er ikkje nedfelt i gjeldande kommuneplan, så dette er noko vi ikkje har hatt med i arealdelen. Ønsket om eit slik tunnelamband er derimot komme inn i samfunnsdelen.
Det har vore fleire innspel og fråsegner om skolesituasjon. Vi vil sjå nærare på dette og på",nno
Ei stund etter,"Ei stund etter at dei hadde gått frå kvarandre, spurde ho han om vêret.
- Stort verre enn dette kan det ikkje bli, svara han meg, fortel Sølvik.
Eit par timar seinare vart Sølvik og ei tilfeldig forbipasserande vitne til at ein trailer kolliderte med ei politibil. Då hadde han køyrt utfor vegen og klatra oppover i eit anleggsområde. Ærleg fortel ho også korleis denne hendinga er med på å forme tankane rundt hendinga der 20 vogntog var involvert.
- Det er ein liten tankevekkjar at dette skjer med 20 vogntog. ",nno
Hans og Knut,"Hans og Knut Øksby har i en årrekke deltatt i forskjellige motorsport-aktiviteter, både med crosskart, folkevogn-kjøring, sykkelcross etc. I 2008 gikk de sammen om å bygge opp en racing-organisasjon, og siden har de utvidet med drifting og en racing-simulator. Veldig moro og lærerikt har det vært.
Øksby Motorsport er også medlem av Norges Bilsportforbund, og i høst ble Knut valgt inn i styret der, noe som betyr at rallygjengen i Oslo-området er representert! ",nno
Eg veit ikkje,"Eg veit ikkje kven K.F. har sett på som dei føregangsmenn blant norske kvinner. Eg håpar ikkje det er medlemmer frå Høgre og FrP. Æra deira kan vera truga. Men for meg er det heilt sikkert at kvinners innflyting på val til alle tider, over heile den vestlege verda har vore lita. Kvinner har heller forsvara mannen mot kvinners innverknad, enn vore pådrivarar for meir innverknad for medsøstre i utviklinga av demokrati i Vesten. Ærleg talt: Eg er kvinne, og eg har ikkje all verdas støtte i å meine dette, men høyr då: Har ikkje ein einaste kvinnelege",nno
No er det,"No er det snart to år sidan dei starta planleggingsarbeidet. I juni i år fekk dei endeleg løyve frå Nome kommune om å sette i gong bygginga av Ulefoss brygge.
- Det er ei kjempeutfordring å sette opp noko som skal sjå moderne og elegant ut på historisk grunn, seier Lassen.
- Vi må tilpasse oss kulturen her, og det er ikkje berre, berre, seier Stigen.
Samtidig er dei klar over at dette er ein unik sjanse til å få til noko som er heilt spesielt.
- Dette er ein gåve vi berre får ein gong i livet, seier Lassen.
Difor er dei veldig gl",nno
Det var ei,"Det var ei tid både for håp og tru på god avsetnad av tømmer over heile Skandinavia. I dag ser me at dette mønsteret er i sterk endring og at det frå fleire område er mangel på tømmerkjøparar. For å få tømmermarknaden til å fungera, treng me seriøse og langsiktige samarbeidspartnerar. 11. april 2006 vart firmaet Tømmerkjøpar Noreg AS etablert med eigarane Viken Skogeierforening, Mjøsen Skogeierforening og AT skog BA som eigarar. Firmaet sin hovudbase er lagt til Kristiansand. Firmaet har som føremål",nno
No var det,"No var det ikkje alle på bussen som hadde sett like mykje fram til denne køyreturen. - Det var mange som vart køyresjuke og som ikkje klarte å vere med. Då måtte me berre setja nye personar inn i bussen frå Ål. Turen til Geilo hadde gått fint avgarde. Og sidan me hadde det så fint til Geilo var det dumt at det skulle bli så trasig her oppe, seier Kristen Olav Hodne. Ikkje heim før sundag Etter at dei hadde hatt ei bussferd som byrja med ein times venting på Nesbyen, og vorte ståande i tre timar for å venta på kolonne over Hemsedalsfjellet, og etter å ha",nno
Så var det,"Så var det påske igjen. Det ble ikke de lange turene med pulk i påsken denne gangen, men vi fikk en flott gjeng på tur i Kaperdalen. 1. påskedag gjorde vi oss klar til den siste store toppturen på ski. Vi nådde toppen etter noen timer. Et fantastisk vær ga en fantastisk tur. Det ligger mange fine timer med planlegging av ruta og forberedelser bak en slik tur. Da er det ekstra godt å lykkes med både vær og rutevalg. Turen gikk fra Kaperdalen på ytre Senja og opp på Kvænan. Som bildene viser valgte noen å kjøre ned med ski. Andre valgte andre løsninger.",nno
