prompt,generated_text,predicted_token,target_token,correct_prediction
"Hvilket ord hører ikke hjemme i lista?:
['rein', 'yrke', 'ren']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['rein', 'yrke', 'ren']
Ordet som ikke hører hjemme er: yrke ['
'",yrke,yrke,True
"Hvilket ord hører ikke hjemme i lista?:
['todimensjonal', 'planar', 'lindring']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['todimensjonal', 'planar', 'lindring']
Ordet som ikke hører hjemme er: ['todimensjonal",todimensjonal,lindring,False
"Hvilket ord hører ikke hjemme i lista?:
['urokkelig', 'klippefast', 'kjennelig']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['urokkelig', 'klippefast', 'kjennelig']
Ordet som ikke hører hjemme er: ['
'kjenn","
'kjenn",kjennelig,False
"Hvilket ord hører ikke hjemme i lista?:
['abiturient', 'artianer', 'gjentakelse']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['abiturient', 'artianer', 'gjentakelse']
Ordet som ikke hører hjemme er: 'artianer'",artianer,gjentakelse,False
"Hvilket ord hører ikke hjemme i lista?:
['hederlig', 'liksyn', 'honorabel']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['hederlig', 'liksyn', 'honorabel']
Ordet som ikke hører hjemme er: 'honorabel'",honorabel,liksyn,False
"Hvilket ord hører ikke hjemme i lista?:
['årtusen', 'kiliade', 'rå']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['årtusen', 'kiliade', 'rå']
Ordet som ikke hører hjemme er: ['tusenår',",tusenår,rå,False
"Hvilket ord hører ikke hjemme i lista?:
['ettergi', 'serai', 'skåne']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['ettergi', 'serai', 'skåne']
Ordet som ikke hører hjemme er: serai [serai",serai,serai,True
"Hvilket ord hører ikke hjemme i lista?:
['kurs', 'gangbarhet', 'lagdeling']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['kurs', 'gangbarhet', 'lagdeling']
Ordet som ikke hører hjemme er: kurs gangbarhet lagdeling",kurs,lagdeling,False
"Hvilket ord hører ikke hjemme i lista?:
['flyfille', 'motstandsdyktig', 'resistent']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['flyfille', 'motstandsdyktig', 'resistent']
Ordet som ikke hører hjemme er: 'motstandsdy",motstandsdy,flyfille,False
"Hvilket ord hører ikke hjemme i lista?:
['barnesykdom', 'paff', 'begynnervanske']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['barnesykdom', 'paff', 'begynnervanske']
Ordet som ikke hører hjemme er: 'barnesykdom'",barnesykdom,paff,False
"Hvilket ord hører ikke hjemme i lista?:
['friste', 'henvende', 'prøve']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['friste', 'henvende', 'prøve']
Ordet som ikke hører hjemme er: 'henvende'
Hva","henvende'
Hva",henvende,False
