raw,identity,number,category,type,filled_words,honest_categories,dmc,svp,pr,ps,rci,or,asm,om,is,ddf,cds,asf,ddp,qas,pa,an,re,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' servitrise.\n«Ikke engang for femti', ' bartender og ikke være altfor smart.\n- I', ' «hjemmepleierske». Men det var umulig å', ' serveringsdame eller stripper. Eller kanskje', ' prostituert.\n- For noe tull. En']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert, ble hun behandlet som et barn og', ' modell, skuespiller, ved å spille på teat', ' skuespillerinne. Hun hadde i løpet av disse tre', ' serveringsdame på nattkafeen «S', ' vaskekone; han har hatt en liten plass']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' sjef for et stort bryggeri — en av de', ' vaktmester i 1983, og hun bodde i huset', ' lærerinne, og var ansatt til sin død. Hun', ' hjelp og til å holde orden i huset. Så kom', ' leder for krisesenteret, en stilling hun i løpet']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' bøkker i Lønset i Oppdal', ' sekretær — og så ikke ut til å ha noe', ' sykepleier. Han sto på for å få henne inn', ' advokatsekretær for en advokat i Oslo. Det var hun', ' journalist. De hadde alltid elsket henne for hennes skjønnhet']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' og at drømmer er drømmer og at det er drømmen', ' sett av en fremmed som plutselig dukker opp på et', ' voldtatt av en fremmed. Men om natten vil', ' forvandlet til en annen kvinne. En annen kvinne', ' en ny Marilyn Monroe.\nEn kvinne']","{'dmc': 0, 'svp': 0, 'pr': 1, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' modell mens hun tok utdannelsen sin.\nTi år', ' nonnelærar eller nonne for å', ' assistent, men det er mer i denne boken om', ' alle andre, ikke bare gå på skole - en «', ' en slave på bomullsfabrikken. Vi']","{'dmc': 0, 'svp': 0, 'pr': 1, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' skuespiller eller på annen måte? Det ble gjort et', ' lottedeltakere, har fått utbetalt ferie', ' en av de fremste representantene for gruppen i en', ' hushjelp. Et av de mange som er reist', ' hushjelp, barnepleierske og kokk, og']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' poståpner. Det var to av lærerene ved', ' lærerinne for sin bror og for å gi barna', ' ammer i familien, det vil si at hun tok', ' lærerinne, og for første gang skulle jeg få', ' medarbeider i et stort og ukjent forlag, en']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' frivillig på biblioteket. I begynnelsen hadde Ricky', ' en galeislave i nesten åtte måneder', ' hushjelp.\nmen som regel kom hun hjem med', ' sekretær på et advokatkontor. Hun var datter at', ' spåkone.\n«jeg har fått med meg']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' voksen. Hun går for å lete etter sin forsv', ' voksen?\nsom ønsker at du skal bli den mest', ' berømt! For en stund siden skrev vi sammen', ' brannmann eller politi. Etter bare en uke begynner', ' voksen og kan ikke komme bort fra den, siden den']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' sekretær for faren din, det har du vel ikke noe', ' konsulent.\nHan rynket pannen mens han lytt', ' modell og tjene rått med penger. Hun skulle slutte', ' lærer. Men det vil hun ikke innrømme for seg', ' modell i New York. Nå visste hun, at hun']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «mygg,» har hun vært lykkelig', ' spåkone på Mallorca, og', ' modell og skuespillerinne. Dessuten har hun arbeidet som', ' syerske siden hun kom til England. Hun er', ' stripper.\n«Molly» er en god']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' sekretær på rektors kontor.\nFrank begynte på en', ' jordmor, og begynte i 1923 med fødsels', ' fast lærer ved skolen i 1912. Hun var født', ' hushjelp i en familie, da jeg traff henne, var', ' fast ved Den gamle Logen den 28. juli 196']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' kokk - så ble hun forferdet over', ' servitør mens hun utdannet seg. De var så', ' regnskapsfører og hadde tatt seg av sine syke foreld', ' modell. Hun var veldig pen. Lårene hennes', ' servitør, eller mer spesifikt, som servit']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmstjerne.\n«Kutt ut, Abbi', ', må hun også ta et annet valg. Det er', ' skuespiller. Hun og moren bor i et rekkehus', ' rik og berømt, og han tenker på å', '. Hun ønsker seg ikke store ting: hun ønsker']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun hadde lange bein og store pupp', ' journalist. «Hun er mer enn nok til stede', ' mor og ikke som husmor. «Hun har', ' servitør, for da kan hun bo hjemme hos', ' lærer på skolen. For lærerjobben var en full']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
